weight,stratum,psu,Sex,Race,Age,Grade,SexOrientation,HispanicLatino,Height,Weight,SexofSexualContact,SeatBealtUse,DrinkingDriver,DrivingDrinking,TextingDriving,WeaponCarryingSchool,GunCarrying,UnsafeAtSchool,InjuredInSchool,PhysicalFight,SchoolPhysicalFight,AttackedInNeighborhood,ForcedSexualIntercourse,SexualViolence,SexualAbuseByPartner,PhysicalDaitingViolence,Bullying,CyberBullying,Hopelessness,SuicideIdeation,SuicidePlan,SuicideAttempts,SuicideInjuryMedicalAttention,EverTriedCigarrette,FirstCigBefore13,CurrentlySmokingCigarette,MoreThan10CigPerDay,EverTriedVaping,CurrentlyVaping,StoreSourceVaping,CurrentlySmokelessTobacco,CurrentlySmokingCigar,QuitTobbaco,FirstAlcoholBefore13,CurrentlyAlcohol,CurrentlyBingeDrinking,MoreThan10Drinks,SomeoneSourceAlcohol,EverUsedMarihuana,FirstMarihuanaBefore13,CurrentlyUseMarihuana,EverUsedSyntheticMarihuana,PainMedicine,EverUsedCocaine,EverUsedInhalant,EverUsedHeroin,EverUsedMetha,EverUsedEcstasy,EverUsedInjectedIllegalDrug,OfferedDrugsSchool,EverHadSex,SexBefore13,Sex4OrMorePartners,SexuallyActive,AlcoholOrDrugsSex,UseCondom,BirthControl,VeryOverweight,WeightLoss,NoFruitJuice,NoFruit,NoSalad,NoPotatoes,NoCarrots,NoOtherVeggies,NoSoda,NoMilk,NoBreakfast,PhysicalActivity,ThreeOrMoreHoursTV,AttendedPEClass,SportsTeam,ConcussionSports,HIVTested,STDTested,DentistVisit,NotGoodMentalHealth,EightorMoreHoursSleep,Homelessness,CurrentPainMedicine,EverHallucinogenicDrugs,NoSportsDrinks,NoDrinksWater,ExcerciseMuscles,CovidNotGoodMentalHealth,CovidAdultLostJob,Sunburn,FeelCloseToPeople,ParentalMonitoring,DifficultyConcentrating,EnglishProficiency
3.6444,214,87023,Female,Black or African American,16,11,NA,2,1.57,70.31,4,0,1,NA,NA,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,NA,1,0,NA,0,0,0,1,1,NA,NA,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1
4.1426,214,87023,Male,Multiple-Hispanic,15,NA,Heterosexual,1,NA,NA,2,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,1,NA,NA,0,NA,0,1,0,0,0,0,0,NA,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,NA,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1
4.1426,214,87023,Male,Hispanic/Latino,15,10,Not sure,1,1.7,61.69,NA,0,0,NA,NA,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
4.1426,214,87023,Male,Hispanic/Latino,15,10,Heterosexual,1,1.75,60.33,2,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,1,NA,NA,0,0,1,0,NA,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1
4.1426,214,87023,Male,Multiple-Hispanic,14,10,Heterosexual,1,1.9,88.91,1,0,0,NA,NA,0,0,1,0,1,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
4.1683,214,87023,Female,Multiple-Non-Hispanic,15,10,Heterosexual,2,NA,NA,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
4.1426,214,87023,Male,Hispanic/Latino,15,10,Heterosexual,1,1.73,84.82,2,1,1,NA,NA,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,NA,1,NA,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
4.1426,214,87023,Male,Hispanic/Latino,14,10,Heterosexual,1,1.6,49.9,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1
4.1426,214,87023,Male,Hispanic/Latino,15,10,Heterosexual,1,1.78,61.24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1
4.1031,214,87023,Female,Multiple-Hispanic,15,10,Bisexual,1,1.47,54.43,3,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,0,0,0,NA,1,1,0,0,0,1,0,0,0,0,NA,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1
4.1031,214,87023,Female,Hispanic/Latino,15,10,NA,1,NA,NA,1,1,0,NA,NA,0,0,0,0,0,0,1,1,0,NA,NA,0,0,1,1,1,1,0,0,0,0,NA,1,NA,NA,0,0,NA,0,1,NA,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1
4.1031,214,87023,Female,Multiple-Hispanic,15,10,NA,1,NA,NA,3,1,0,NA,NA,0,0,0,0,0,0,1,0,NA,NA,0,0,0,1,1,0,0,0,0,0,0,NA,1,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1
4.1426,214,87023,Male,Multiple-Hispanic,15,10,Heterosexual,1,1.98,60.78,1,1,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
4.1426,214,87023,Male,Multiple-Hispanic,15,10,Heterosexual,1,1.63,44.45,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1
4.1426,214,87023,Male,Multiple-Hispanic,15,10,Heterosexual,1,1.73,64.86,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1,1,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1
4.1031,214,87023,Female,Multiple-Hispanic,15,10,Heterosexual,1,1.63,59.88,3,0,1,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,NA,NA,0,0,0,NA,1,0,NA,0,0,1,0,0,0,0,NA,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1
4.1426,214,87023,Male,Multiple-Hispanic,15,10,Heterosexual,1,1.65,47.63,1,0,0,NA,NA,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1
4.1426,214,87023,Male,Hispanic/Latino,15,10,Heterosexual,1,1.7,52.16,1,0,0,NA,NA,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
4.1426,214,87023,Male,Hispanic/Latino,15,10,Heterosexual,1,1.68,58.97,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,0,0,NA,0,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
4.1426,214,87023,Male,Hispanic/Latino,15,10,Heterosexual,1,1.78,75.75,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
4.1426,214,87023,Male,Multiple-Hispanic,15,10,Heterosexual,1,NA,NA,2,0,0,NA,NA,0,1,0,0,NA,NA,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,NA,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1
4.1683,214,87023,Female,White,15,10,Heterosexual,2,1.55,86.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,1,0,0,NA,1,1,0,0,0,1,0,0,0,0,NA,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1
4.1426,214,87023,Male,Multiple-Hispanic,15,10,Heterosexual,1,1.65,49.9,2,1,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,NA,1,0,NA,0,0,1,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
